element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,2,"=""393.8843""","=""0.0006""","=""393.884385""","=""0.000007""","=""1""","=""""",,"=""161089.3846""","=""186470.3603""","=""3s2.3p4.(3P).4p""","=""2S*""","=""1/2""","=""3s2.3p4.(3P).4d""","=""4P""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""394.42712""","=""0.00002""","=""394.427124""","=""0.000007""","=""49""","=""4.1e+06""",B,"=""132327.3616""","=""157673.4134""","=""3s2.3p4.(3P).3d""","=""4D""","=""7/2""","=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""",,"=""T926""","=""L11520""",
Ar,2,"=""394.60969""","=""0.00001""","=""394.609692""","=""0.000005""","=""204""","=""1.4e+08""",D,"=""170530.4040""","=""195864.7296""","=""3s2.3p4.(1D).4p""","=""2F*""","=""7/2""","=""3s2.3p4.(1D).5s""","=""2D""","=""5/2""",,"=""T1240""","=""L11520""",
Ar,1,"=""394.7505""","=""""","=""394.750472""","=""""","=""7""","=""5.6e+04""",C+,"=""93143.7600""","=""118469.0508""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""",,"=""T5223""","=""L2634""",
Ar,1,"=""394.8979""","=""""","=""394.897881""","=""""","=""35""","=""4.6e+05""",B,"=""93143.7600""","=""118459.5975""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""",,"=""T5223""","=""L2634""",
Ar,2,"=""395.27280""","=""0.00005""","=""395.272882""","=""0.000007""","=""16""","=""2.08e+07""",B,"=""161048.7411""","=""186340.5616""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""4F""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""395.83790""","=""0.00012""","=""395.837988""","=""0.000007""","=""7""","=""3.8e+06""",B,"=""158730.2995""","=""183986.0137""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).4d""","=""4D""","=""3/2""",,"=""T926""","=""L11520""",
Ar,3,"=""396.04872""","=""0.00019""","=""396.04900""","=""0.00010""","=""5""","=""""",,"=""213951.7743""","=""239194.033""","=""3s2.3p3.(2D*).3d""","=""3P*""","=""2""","=""3s2.3p3.(2P*).4p""","=""3S""","=""1""",,"=""""","=""L11520""",
Ar,2,"=""396.83589""","=""0.00002""","=""396.835887""","=""0.000007""","=""59""","=""4.8e+06""",B,"=""132481.2068""","=""157673.4134""","=""3s2.3p4.(3P).3d""","=""4D""","=""5/2""","=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""",,"=""T926""","=""L11520""",
Ar,2,"=""397.44764""","=""0.00002""","=""397.447629""","=""0.000004""","=""50""","=""2.0e+06""",D,"=""135085.9958""","=""160239.4280""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""397.47582""","=""0.00006""","=""397.475854""","=""0.000007""","=""15""","=""9.e+05""",D,"=""134241.7389""","=""159393.3850""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""397.93554""","=""0.00001""","=""397.935543""","=""0.000008""","=""87""","=""9.8e+07""",C,"=""161048.7411""","=""186171.3330""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""4P""","=""1/2""",,"=""T926""","=""L11520""",
Ar,2,"=""398.042""","=""0.002""","=""398.04335""","=""0.00003""","=""0""","=""""",,"=""186470.3603""","=""211586.1480""","=""3s2.3p4.(3P).4d""","=""4P""","=""3/2""","=""3s2.3p4.(3P<1>).6f""","=""2[2]*""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""398.81573""","=""0.00006""","=""398.815725""","=""0.000007""","=""12""","=""4.1e+06""",B,"=""158730.2995""","=""183797.4473""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).4d""","=""4D""","=""5/2""",,"=""T926""","=""L11520""",
Ar,2,"=""399.20531""","=""0.00004""","=""399.205304""","=""0.000007""","=""21""","=""1.6e+06""",B,"=""132630.7277""","=""157673.4134""","=""3s2.3p4.(3P).3d""","=""4D""","=""3/2""","=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""",,"=""T926""","=""L11520""",
Ar,2,"=""399.47916""","=""0.00002""","=""399.479193""","=""0.000010""","=""58""","=""1.6e+08""",E,"=""167307.9822""","=""192333.4986""","=""3s2.3p4.(1S).4s""","=""2S""","=""1/2""","=""3s2.3p4.(1S).4p""","=""2P*""","=""1/2""",,"=""T380n""","=""L11520""",
Ar,3,"=""399.5590""","=""0.0020""","=""399.5586""","=""0.0011""","=""8""","=""""",,"=""219337.54""","=""244358.081""","=""3s2.3p3.(2D*).3d""","=""1D*""","=""2""","=""3s2.3p3.(2P*).4p""","=""1D""","=""2""",,"=""""","=""L9366""",
Ar,2,"=""399.92518""","=""0.00003""","=""399.925192""","=""0.000021""","=""4""","=""""",,"=""179931.8393""","=""204929.4477""","=""3s2.3p4.(1S).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P).6p""","=""2S*""","=""1/2""",,"=""""","=""L2634""",
Ar,2,"=""400.11378""","=""0.00003""","=""400.113759""","=""0.000013""","=""3""","=""6.e+05""",C,"=""147228.0521""","=""172213.8798""","=""3s2.3p4.(3P).3d""","=""4P""","=""1/2""","=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""",,"=""T926""","=""L2634""",
Ar,2,"=""400.53620""","=""0.00009""","=""400.53627""","=""0.00003""","=""10""","=""""",,"=""190106.3000""","=""215065.7716""","=""3s2.3p4.(3P).5p""","=""4D*""","=""3/2""","=""3s2.3p4.(1S).5s""","=""2S""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""400.7632""","=""0.0008""","=""400.762828""","=""0.000007""","=""2""","=""""",,"=""158730.2995""","=""183675.6614""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).4d""","=""4D""","=""7/2""",,"=""""","=""L14821""",
